year,month,total_appeals,appeals_to_mayor,res_positive,res_explained,res_negative,El_form_to_mayor,Pap_form_to_mayor,to_10K_total_VAO,to_10K_mayor_VAO,to_10K_total_ZAO,to_10K_mayor_ZAO,to_10K_total_ZelAO,to_10K_mayor_ZelAO,to_10K_total_SAO,to_10K_mayor_SAO,to_10K_total_SVAO,to_10K_mayor_SVAO,to_10K_total_SZAO,to_10K_mayor_SZAO,to_10K_total_TiNAO,to_10K_mayor_TiNAO,to_10K_total_CAO,to_10K_mayor_СAO,to_10K_total_YUAO,to_10K_mayor_YUAO,to_10K_total_YUVAO,to_10K_mayor_YUVAO,to_10K_total_YUZAO,to_10K_mayor_YUZAO
2016,January,79217,22110,26950,42764,6405,19418,2692,44,14,38,13,41,12,55,16,48,16,41,11,56,22,73,28,35,11,39,12,44,14
2016,February,102704,26736,30071,59325,8239,22846,3890,54,15,52,17,39,9,66,19,58,18,56,12,67,24,94,30,46,13,55,16,59,18
2016,March,112527,26972,30820,67568,8435,22250,4722,62,16,55,16,48,10,72,18,58,15,66,13,72,27,103,33,51,13,58,15,63,18
2016,April,121050,30179,31289,75471,8359,26086,4093,67,17,60,17,49,11,80,22,60,16,69,16,79,35,106,34,54,15,63,17,68,17
2016,May,119504,40300,26433,80753,6969,22677,17623,65,24,57,22,40,8,78,29,67,22,69,22,71,29,122,54,52,18,60,20,70,25
2016,June,112513,29752,27410,71508,6435,19125,10627,62,17,52,15,38,6,67,18,66,17,107,52,67,23,100,34,46,12,56,14,58,15
2016,July,99982,23071,25944,62916,5444,19002,4069,58,16,48,13,43,7,62,14,61,15,61,15,68,28,97,30,45,11,54,13,57,12
2016,August,114670,25180,30761,70034,6098,19967,5213,65,15,51,13,54,10,76,24,74,16,67,15,80,28,105,29,54,12,63,13,65,12
2016,September,118274,28483,31365,74577,6019,22237,6246,67,16,54,14,64,9,82,28,79,22,69,13,72,31,114,33,51,12,70,18,67,15
2016,October,113529,25285,28722,71036,6460,21625,3660,64,14,54,11,62,8,65,14,72,18,66,12,70,25,109,29,51,11,63,14,67,13
2016,November,115505,24609,19225,43490,5303,18894,5727,61,10,49,8,61,5,63,9,60,13,83,24,83,20,103,23,54,7,54,9,63,9
2016,December,121014,26161,30224,74575,8666,22097,4064,69,17,54,14,52,8,78,18,66,14,78,16,85,29,129,35,68,13,58,14,71,16
2017,January,91687,19192,25206,56111,6649,16447,2745,56,13,42,10,61,7,60,16,50,10,57,11,58,18,86,22,43,9,52,12,59,12
2017,February,101381,21666,24933,63953,8113,18284,3382,63,15,49,12,56,10,64,16,63,12,67,12,67,22,97,28,50,12,55,14,58,18
